Year ,zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
2002,44113,327390,1,0,1,0,0,0,0,0,0,0
2002,44113,327910,1,0,1,0,0,0,0,0,0,0
2002,44114,327991,1,0,1,0,0,0,0,0,0,0
2002,44114,327993,1,0,0,0,1,0,0,0,0,0
2002,44113,331111,1,0,1,0,0,0,0,0,0,0
2002,44113,331221,1,0,1,0,0,0,0,0,0,0
2002,44113,331419,1,1,0,0,0,0,0,0,0,0
2002,44114,331521,1,0,1,0,0,0,0,0,0,0
2002,44113,331524,2,0,1,0,1,0,0,0,0,0
2002,44115,331525,1,0,0,0,1,0,0,0,0,0
2002,44113,332116,3,0,0,1,2,0,0,0,0,0
2002,44114,332116,1,0,0,1,0,0,0,0,0,0
2002,44115,332312,1,0,0,1,0,0,0,0,0,0
2002,44113,332313,1,0,1,0,0,0,0,0,0,0
2002,44113,332322,3,1,0,2,0,0,0,0,0,0
2002,44114,332322,2,0,1,1,0,0,0,0,0,0
2002,44113,332323,1,1,0,0,0,0,0,0,0,0
2002,44114,332323,1,0,0,1,0,0,0,0,0,0
2002,44113,332420,1,0,1,0,0,0,0,0,0,0
2002,44115,332420,1,0,1,0,0,0,0,0,0,0
2002,44113,332510,1,0,0,0,0,0,1,0,0,0
2002,44113,332710,10,3,5,1,1,0,0,0,0,0
2002,44114,332710,10,5,1,3,1,0,0,0,0,0
2002,44113,332721,2,1,0,1,0,0,0,0,0,0
2002,44114,332721,1,0,0,1,0,0,0,0,0,0
2002,44113,332811,1,0,0,1,0,0,0,0,0,0
2002,44114,332811,5,0,2,2,1,0,0,0,0,0
2002,44114,332812,1,1,0,0,0,0,0,0,0,0
2002,44113,332813,1,0,1,0,0,0,0,0,0,0
2002,44114,332813,4,2,2,0,0,0,0,0,0,0
2002,44115,332813,1,0,0,0,1,0,0,0,0,0
2002,44113,332912,1,0,1,0,0,0,0,0,0,0
2002,44115,332991,1,0,0,0,1,0,0,0,0,0
2002,44114,332999,1,1,0,0,0,0,0,0,0,0
2002,44114,333293,1,0,0,1,0,0,0,0,0,0
2002,44113,333298,1,0,1,0,0,0,0,0,0,0
2002,44115,333415,1,0,1,0,0,0,0,0,0,0
2002,44113,333511,1,0,1,0,0,0,0,0,0,0
2002,44114,333511,1,0,1,0,0,0,0,0,0,0
2002,44113,333514,3,1,1,1,0,0,0,0,0,0
2002,44114,333514,4,0,1,0,2,0,1,0,0,0
2002,44113,333515,2,1,1,0,0,0,0,0,0,0
2002,44113,333518,1,1,0,0,0,0,0,0,0,0
2002,44114,333518,2,0,1,1,0,0,0,0,0,0
2002,44115,333518,1,1,0,0,0,0,0,0,0,0
2002,44114,333612,2,0,1,0,0,0,1,0,0,0
2002,44114,333618,1,0,0,0,0,0,1,0,0,0
2002,44113,333922,1,0,0,0,1,0,0,0,0,0
2002,44114,333991,1,0,0,0,0,1,0,0,0,0
2002,44113,333994,1,0,1,0,0,0,0,0,0,0
2002,44115,333994,1,0,1,0,0,0,0,0,0,0
2002,44114,334220,2,0,1,0,1,0,0,0,0,0
2002,44114,334310,1,0,0,1,0,0,0,0,0,0
2002,44113,334412,1,1,0,0,0,0,0,0,0,0
