Zip Code,City Name,City Type Zip,County,State,Lat,Lng,Zip Code Status,Zip Check
43110,CANAL WNCHSTR,postal_code,None,OH,39.8290849,-82.7886395,OK,43110
43111,Carbon Hill,postal_code,Hocking County,OH,39.49813049999999,-82.2427108,OK,43111
43112,Carroll,postal_code,Fairfield County,OH,39.8031988,-82.7023383,OK,43112
43113,Circleville,postal_code,None,OH,39.5837779,-82.9716617,OK,43113
43115,Clarksburg,postal_code,None,OH,39.48145359999999,-83.15417959999999,OK,43115
43116,Commercial Point,postal_code,Pickaway County,OH,39.7703385,-83.064326,OK,43116
43117,Derby,postal_code,Pickaway County,OH,39.76898550000001,-83.20659289999999,OK,43117
43119,Galloway,postal_code,None,OH,39.9247969,-83.1863358,OK,43119
43123,Grove City,postal_code,Franklin County,OH,39.8762258,-83.05761559999999,OK,43123
43125,Groveport,postal_code,None,OH,39.8344168,-82.8748301,OK,43125
43126,Harrisburg,postal_code,None,OH,39.8106225,-83.17092960000001,OK,43126
43127,Haydenville,postal_code,Hocking County,OH,39.478243,-82.3207707,OK,43127
43128,Jeffersonville,postal_code,None,OH,39.6619854,-83.6135572,OK,43128
43130,Lancaster,postal_code,Fairfield County,OH,39.7047822,-82.605118,OK,43130
43135,Laurelville,postal_code,None,OH,39.4855212,-82.713132,OK,43135
43136,Lithopolis,postal_code,None,OH,39.8075474,-82.8128918,OK,43136
43137,Lockbourne,postal_code,None,OH,39.8000052,-82.98241209999999,OK,43137
43138,Logan,postal_code,None,OH,39.5292702,-82.4319405,OK,43138
43140,London,postal_code,None,OH,39.89867,-83.4430118,OK,43140
43142,Milledgeville,postal_code,Fayette County,OH,39.5913207,-83.5881046,OK,43142
43143,Mount Sterling,postal_code,None,OH,39.727338,-83.3148018,OK,43143
43144,Murray City,postal_code,Hocking County,OH,39.5109237,-82.16524439999999,OK,43144
43145,New Holland,postal_code,None,OH,39.5604184,-83.2720082,OK,43145
43146,Orient,postal_code,None,OH,39.7583793,-83.1434573,OK,43146
43147,Etna,postal_code,None,OH,39.898703,-82.7562895,OK,43147
43148,Pleasantville,postal_code,None,OH,39.8112603,-82.50775929999999,OK,43148
43149,Rockbridge,postal_code,Hocking County,OH,39.55962239999999,-82.5834947,OK,43149
43150,Rushville,postal_code,None,OH,39.7646554,-82.42110249999999,OK,43150
43151,Midway,postal_code,Madison County,OH,39.7333625,-83.4770243,OK,43151
43152,S BLOOMINGVIL,postal_code,None,OH,39.3591302,-82.669947,OK,43152
43153,South Solon,postal_code,None,OH,39.7441639,-83.6135572,OK,43153
43154,Stoutsville,postal_code,None,OH,39.6050434,-82.8287945,OK,43154
43155,Sugar Grove,postal_code,None,OH,39.6264608,-82.5485123,OK,43155
43156,Laurelville,postal_code,Pickaway County,OH,39.555386,-82.7761731,OK,43156
43157,Thurston,postal_code,Fairfield County,OH,39.84339480000001,-82.5496946,OK,43157
43158,Union Furnace,postal_code,Hocking County,OH,39.4659095,-82.35807299999999,OK,43158
43160,WSHNGTN CT HS,postal_code,None,OH,39.5096149,-83.46435509999999,OK,43160
43162,West Jefferson,postal_code,Madison County,OH,39.9322799,-83.3148018,OK,43162
43164,Williamsport,postal_code,None,OH,39.5915094,-83.1005505,OK,43164
43194,Lockbourne,postal_code,Franklin County,OH,39.8092642,-82.97253979999999,OK,43194
43195,Groveport,postal_code,Franklin County,OH,39.86,-82.89,OK,43195
43199,Groveport,postal_code,Franklin County,OH,39.83395489999999,-82.92998759999999,OK,43199
43201,Columbus,postal_code,Franklin County,OH,39.9929821,-83.00122100000002,OK,43201
43202,Columbus,postal_code,Franklin County,OH,40.0215545,-83.0092803,OK,43202
43203,Columbus,postal_code,Franklin County,OH,39.9705946,-82.9689738,OK,43203
43204,Columbus,postal_code,Franklin County,OH,39.9647732,-83.0844532,OK,43204
43205,Columbus,postal_code,Franklin County,OH,39.9576567,-82.9662859,OK,43205
43206,Columbus,postal_code,Franklin County,OH,39.9402572,-82.9743495,OK,43206
43207,Obetz,postal_code,Franklin County,OH,39.9119721,-82.9716617,OK,43207
43209,Bexley,postal_code,Franklin County,OH,39.9556925,-82.9340217,OK,43209
43210,Columbus,postal_code,Franklin County,OH,39.9990626,-83.01733860000002,OK,43210
43211,Columbus,postal_code,Franklin County,OH,40.0046112,-82.98241209999999,OK,43211
43212,GRANDVIEW,postal_code,Franklin County,OH,39.98263960000001,-83.04150779999999,OK,43212
